Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,o-Phos 1,0.085,mg P/L,0.085056,Thu Jun 05 21:48:45 2025,1,1
STANDARD 90,,o-Phos 1,0.076,mg P/L,0.075796,Thu Jun 05 21:49:42 2025,1,1
STANDARD 91,,o-Phos 1,0.084,mg P/L,0.084312,Thu Jun 05 21:50:43 2025,1,1
STANDARD 92,,o-Phos 1,0.102,mg P/L,0.101603,Thu Jun 05 21:51:37 2025,1,1
STANDARD 93,,o-Phos 1,0.156,mg P/L,0.155892,Thu Jun 05 21:52:30 2025,1,1
STANDARD 94,,o-Phos 1,0.221,mg P/L,0.220793,Thu Jun 05 21:53:23 2025,1,1
STANDARD 95,,o-Phos 1,0.361,mg P/L,0.360831,Thu Jun 05 21:54:16 2025,1,1
STANDARD 0,,o-Phos 1,0.08,mg P/L,0.079861,Thu Jun 05 21:55:09 2025,1,1
C C V,,o-Phos 1,0.479,mg P/L,0.213646,Thu Jun 05 21:56:03 2025,1,1
C C B ,,o-Phos 1,-0.001,mg P/L,0.076161,Thu Jun 05 21:56:56 2025,1,1
531X9,,o-Phos 1,0.556,mg P/L,0.143549,Thu Jun 05 20:03:45 2025,1,3.01
639X100,,o-Phos 1,1.879,mg P/L,0.275919,Thu Jun 05 20:04:38 2025,1,3.01
546X10,,o-Phos 1,0.645,mg P/L,0.152466,Thu Jun 05 20:05:31 2025,1,3.01
ATB3X100,,o-Phos 1,0.456,mg P/L,0.225017,Thu Jun 05 19:41:52 2025,1,1
YOB3X50,,o-Phos 1,0.551,mg P/L,0.253599,Thu Jun 05 19:42:46 2025,1,1
OJB1X100,,o-Phos 1,0.355,mg P/L,0.194601,Thu Jun 05 19:43:39 2025,1,1
526X9,,o-Phos 1,0.267,mg P/L,0.168273,Thu Jun 05 19:44:32 2025,1,1
C C V,,o-Phos 1,0.568,mg P/L,0.239123,Thu Jun 05 21:57:49 2025,1,1
C C B ,,o-Phos 1,0.009,mg P/L,0.078996,Thu Jun 05 21:58:43 2025,1,1
